КРКА-Рус ООО; КРКА Рус
Хербион Пакистан Пвт Лтд; Хербион Пакистан Пвт Лтд
Шрея Лайф Саенсиз Пвт.Лтд; Шрея Лайф Саенсиз Пвт Лтд
Фамар Орлеан; Фамар Орлеан
Селебрити Биофарма Лтд.; Селебрити Биофарма Лтд
Пфайзер Консьюмер Мэнюфэкчуринг Италия С.р.Л.; Пфайзер Консьюмер Мэнюфэкчуринг Италия С р Л
Такеда Фармасьютикал Компани Лимитед/Такеда Айлэнд Лимитед; ['Такеда Фармасьютикал Компани Лимитед', 'Такеда Айлэнд Лимитед']
Протекх Биосистемс Пвт.; Протекх Биосистемс Пвт
Майоли Спиндлер Лабораториз; Майоли Спиндлер Лабораториз
Астеллас Фарма Юроп Б.В./пр.Р-Фарм АО/уп.Ортат АО; ['Астеллас Фарма Юроп Б.В.', 'Р-Фарм', '.Ортат']
Витафарма фирма АО; Витафарма фирма
Эбботт Лэбораториз ГмбХ/пр.ЭббВи С.р.л.; ['Эбботт Лэбораториз ГмбХ', 'ЭббВи С.р.л.']
Майлан ЕПД Г.К.; Майлан ЕПД Г К
Джонсон и Джонсон ООО/пр.Каталент Ю.К. Суиндон Зайдис Лтд/Янссен-Силаг; ['Джонсон и Джонсон', 'Каталент Ю.К. Суиндон Зайдис Лтд', 'Янссен-Силаг']
Берингер Ингельхайм Фарма КГ/Берингер Ингельхайм Эллас А.Е.; ['Берингер Ингельхайм Фарма КГ', 'Берингер Ингельхайм Эллас А.Е.']
Сотекс ФармФирма ЗАО/пр.ФармВИЛАР НПО ООО; ['Сотекс ФармФирма', 'ФармВИЛАР']
Балканфарма - Разград АД; Балканфарма Разград АД
Белупо д.д./пр.Специфар С.А.; ['Бело д.д.', 'Специфар С.А.']
Берлин-Хеми/Менарини Фарма ГмбХ/пр.Берлин-Хеми АГ; ['Берлин-Хеми', 'Менарини Фарма ГмбХ', 'Берлин-Хеми АГ']
Штайгервальд Арцнаймиттельверк ГмбХ; Штайгервальд Арцнаймиттельверк ГмбХ
Фармапол-Волга ООО; Фармапол Волга
Лаборатории Сервье Индастри/пр.Сердикс ООО; ['Лаборатории Сервье Индастри', 'Сердикс']
Ипсен Фарма/пр.Бофур Ипсен Индастри; ['Ипсен Фарма', 'Бофур Ипсен Индастри']
Натур Продукт Европа Б.В./Натур Продукт Фарма Сп. з о.о.; ['Натур Продукт Европа Б.В.', 'Натур Продукт Фарма Сп. з о.о.']
Биок Курская биофабрика; Биок Курская биофабрика
Мерк Шарп и Доум Б.В./пр.Мерк Шарп и Доум Лтд./уп.Акрихин ХФК АО; ['Мерк Шарп и Доум Б.В.', 'Мерк Шарп и Доум Лтд.', '.Акрихин ХФК']
Гедеон Рихтер ОАО/пр.Гедеон Рихтер Румыния А.О.; ['Гедеон Рихтер', 'Гедеон Рихтер Румыния А.О.']
Эбботт Хелскеа Продактс Б.В./пр.Эбботт Биолоджикалз Б.В.; ['Эбботт Хелскеа Продактс Б.В.', 'Эбботт Биолоджикалз Б.В.']
Санофи-Авентис Франс/Санофи С.П.А.; ['Санофи-Авентис Франс', 'Санофи С.П.А.']
Валента Фармацевтика ОАО; Валента Фармацевтика
Кронофарм ООО/Канонфарма продакшн ЗАО; ['Кронофарм', 'Канонфарма продакшн']
Наброс Фарма Пвт.Лтд/уп.Нижфарм АО; ['Наброс Фарма Пвт.Лтд', '.Нижфарм']
Ксантис Фарма Лимитед/Санека Фармасьютикалс а.с.; ['Ксантис Фарма Лимитед', 'Санека Фармасьютикалс а.с.']
Тева Фармацевтические Предприятия Лтд/пр.Тева Прайвэт Ко.Лтд; ['Тева Фармацевтические Предприятия Лтд', 'Тева Прайвэт Ко.Лтд']
Каталент ЮК Суиндон Зайдис Лимитед/Янсен-Силаг С.п.А.; ['Каталент ЮК Суиндон Зайдис Лимитед', 'Янсен-Силаг С.п.А.']
Адамед Фарма АО; Адамед Фарма
Биовет АО; Биовет
ПРО.МЕД.ЦС Прага а.о./ЗиО-Здоровье ЗАО; ['ПРО.МЕД.ЦС Прага а.о.', 'ЗиО-Здоровье']
Д-р Фальк Фарма ГмбХ/пр.Аллфамед Фарбил Арцнаймиттель ГмбХ; ['Д-р Фальк Фарма ГмбХ', 'Аллфамед Фарбил Арцнаймиттель ГмбХ']
Полисан  НТФФ ООО; Полисан НТФФ
АстраЗенека ЮК Лтд/пр.АйПиЭр Фармасьютикалс Инк/уп.ЗиО-Здоровье ЗАО; ['АстраЗенека ЮК Лтд', 'АйПиЭр Фармасьютикалс Инк', '.ЗиО-Здоровье']
Актавис Групп ПТС ехф/пр.Актавис Лтд.; ['Актавис Грп ПТС ехф', 'Актавис Лтд.']
Санофи-Авентис Франс/пр.Санофи Винтроп Индустрия; ['Санофи-Авентис Франс', 'Санофи Винтроп Индустрия']
Мерк КГаА; Мерк КГаА
Сотекс ФармФирма ЗАО/пр.К.О.Ромфарм Компани С.р.Л.; ['Сотекс ФармФирма', 'К.О.Ромфарм Компани С.р.Л.']
