group;name_item;href_name;price;street;region;seller
['1-komnatnye'];1-к. квартира, 43,3 м², 3/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_433m_39et._2692070418;4900000.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
['1-komnatnye'];1-к. квартира, 43,3 м², 4/9 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_433m_49et._2692428989;5072800.0;ул. Бакинская, д. 87;р-н Кировский;"ООО СЗ ""ИФК ""Астрстройинвест"""
['1-komnatnye'];1-к. квартира, 31,7 м², 14/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_317m_1425et._3077466572;4250000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 43,4 м², 4/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_434m_417et._3008813163;4500020.0;пр-д Воробьева, д. 5а;р-н Советский;Застройщик
['1-komnatnye'];1-к. квартира, 39 м², 1/10 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_39m_110et._2582985419;2916750.0;ул. Адмирала Макарова, жилой дом;р-н Советский;RES застройщик г. Астрахань
['1-komnatnye'];1-к. квартира, 38,5 м², 16/16 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_385m_1616et._3026896244;3965500.0;ул. Минусинская, уч. 8г, стр. 1;р-н Кировский;АКСИОМА | Квартиры в новостройках Астрахани от застройщика
['1-komnatnye'];1-к. квартира, 46,5 м², 10/15 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_465m_1015et._2508911409;5450000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 46,1 м², 12/13 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_461m_1213et._2029736410;5149000.0;ул. Боевая, д. 30;р-н Советский;"СЗ  ООО УСК ""Стройкомплекс"""
['1-komnatnye'];1-к. квартира, 46,5 м², 10/15 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_465m_1015et._2508911409;5450000.0;ул. Трофимова, стр. 1;р-н Советский;"ООО ""Буран"", ЖК ""Лотос Парк"""
['1-komnatnye'];1-к. квартира, 35 м², 16/25 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_35m_1625et._2437181598;4630000.0;ул. Космонавтов, д. 18;р-н Советский;РАЗУМ  Девелоперская компания
['1-komnatnye'];1-к. квартира, 46,1 м², 12/13 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_461m_1213et._2029736410;5149000.0;ул. Боевая, д. 30;р-н Советский;"СЗ  ООО УСК ""Стройкомплекс"""
['1-komnatnye'];1-к. квартира, 43,4 м², 4/17 эт. в Астрахани;https://www.avito.ru/astrahan/kvartiry/1-k._kvartira_434m_417et._3008813163;4500020.0;пр-д Воробьева, д. 5а;р-н Советский;Застройщик
